mondo_id,label,pubmed_total_count,ct_active_trials,ct_total_enrollment_target,wiki_annual_pv,wiki_lang_count,google_result_count
MONDO:0957464,primary cutaneous tuberculosis,394,3,124162,2853,1,0
MONDO:0957465,multifocal tuberculosis,908,3,226,291097,50,0
MONDO:0957466,primary tuberculosis of the digestive system,352,11,54970,15648,2,0
MONDO:0957467,primary genito-urinary tuberculosis,15,0,0,33823,6,0
MONDO:0957473,craniosynostosis-facial dysmorphism-chiari-1 malformation-developmental and language delay syndrome,0,0,0,2045,2,0
MONDO:0957476,isolated persistent urogenital sinus,12,1,100,14782,7,0
MONDO:0957477,MYT1L-related developmental delay-intellectual disability-obesity syndrome,0,0,0,2404,6,0
MONDO:0957481,idiopathic pregnancy-associated osteoporosis,5,2,250,446625,84,0
MONDO:0957487,idiopathic catatonia,29,0,0,176298,26,0
MONDO:0957494,"autoinflammatory disease, multisystem, with immune dysregulation, X-linked",5,0,0,23276,2,0
MONDO:0957495,"hemolytic uremic syndrome, atypical, 8, with rhizomelic short stature",0,0,0,6410,2,0
MONDO:0957496,"intellectual developmental disorder, X-linked 112",99,0,0,410225,35,0
MONDO:0957497,disabling pansclerotic morphea of childhood,15,0,0,60943,10,0
MONDO:0957519,diffuse gastric cancer,7393,29,16491,303347,67,0
MONDO:0957524,"COX deficiency, benign infantile mitochondrial myopathy",14,0,0,91395,9,0
MONDO:0957530,"breast-ovarian cancer, familial, susceptibility to, 5",243,4,7046,175203,23,0
MONDO:0957531,neurodevelopmental disorder with microcephaly and movement abnormalities,209,1,500,215584,30,0
